Compared Matrix,RMSD,Normalized RMSD
a_singapore_6_1986.npy,0.8997682110562214,0.0
a_egypt_10_2007.npy,0.946051125067888,0.00934447825840585
a_ussr_90_1977.npy,0.9920267791944973,0.018626921025380144
a_rheinlandpfalz_34_2003.npy,1.0105797003755235,0.022372738943463588
a_hongkong_2387_2007.npy,1.0265153681509422,0.025590135778568723
a_chile_1_1983.npy,1.0801586220663364,0.03642065997149637
a_hongkong_1870_2008.npy,1.0807753454095443,0.03654517585376353
a_peru_1169_2007.npy,1.084466667648549,0.0372904504576585
a_siena_10_1989.npy,1.0851859169204243,0.03743566623170674
a_fukushima_141_2006.npy,1.1409668944516127,0.0486977948790392
a_stpetersburg_12_2008.npy,1.163730690960109,0.053293784697199725
a_netherlands_345_2007.npy,1.176040981741068,0.055779221213325916
a_lackland_7_1978.npy,1.1900472448318076,0.058607072996814245
a_california_45_1978.npy,1.2281618792342557,0.06630238302874063
a_denmark_86_2003.npy,1.2477912665030837,0.07026553847122541
a_hongkong_948_2006.npy,1.2630228366390233,0.07334077863308716
a_ussr_92_1977.npy,1.2848962481504806,0.07775700052988595
a_wisconsin_13_2009.npy,1.3909161934904268,0.09916233110040223
a_pennsylvania_1_2007.npy,1.4597365333218253,0.1130570951407239
a_perth_200_2008.npy,1.4698913907017763,0.11510735161291243
a_siena_9_1989.npy,1.4755620399535243,0.11625225054107083
a_denmark_56_2003.npy,1.5146151093686986,0.12413702974883899
a_ulaanbaatar_2212_2007.npy,1.5345952164526808,0.128170995203128
a_beijing_262_1995.npy,1.6166375766250958,0.14473527312880452
a_denmark_22_2005.npy,1.6402713396077464,0.14950690838712094
a_finland_4_2007.npy,1.7343912691241539,0.1685096365823911
a_moscow_2_2009.npy,2.0743827810954922,0.23715361372820912
a_brazil_11_1978.npy,2.195340522939248,0.2615748718313599
a_hongkong_1988_2009.npy,2.2031563773049276,0.26315288572159484
a_hongkong_2613_2007.npy,2.357775622844416,0.29437037081578454
a_hongkong_18106_2009.npy,2.68461491763559,0.3603589272709585
a_india_6263_1980.npy,2.9981903515740034,0.423669522279498
a_newcaledonia_20_1999.npy,3.1937095423229644,0.46314466912514024
a_texas_36_1991.npy,3.3126687222737314,0.4871624193991944
a_solomonislands_3_2006.npy,3.344032960534365,0.49349483058756666
a_southdakota_6_2007.npy,3.709880673780356,0.5673591512622095
a_stpetersburg_10_2007.npy,4.458232339808823,0.7184506722300136
a_hongkong_33597_2009.npy,5.031272868147007,0.8341470338915067
a_shenzhen_227_1995.npy,5.117763660602963,0.8516094462507035
a_taiwan_1_1986.npy,5.223184926934301,0.8728939040737024
a_denmark_3_2005.npy,5.852737518896678,1.0
